CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;EXT.OZON.3
c26679;p;CITY;Ревда;26679
c26859;p;CITY;Реж;26859
c795;p;CITY;Реутов;795
c27043;p;CITY;Рефтинский;27043
c6356;p;CITY;Рославль;6356
c927;p;CITY;Ростов;927
c9796;p;CITY;Ростов-На-Дону;9796
c30668;p;CITY;Рубцовск;30668
c1155;p;CITY;Рыбинск;1155
c13415;p;CITY;Рязань;13415
c22374;p;CITY;Салават;22374
c27792;p;CITY;Салехард;27792
c10568;p;CITY;Сальск;10568
c20997;p;CITY;Самара;20997
c19560;p;CITY;Саранск;19560
c19182;p;CITY;Сарапул;19182
c16629;p;CITY;Саратов;16629
c24836;p;CITY;Саров;24836
c32444;p;CITY;Саянск;32444
c6581;p;CITY;Светлогорск;6581
c6531;p;CITY;Светлый;6531
c44451;p;CITY;Севастополь;44451
c33020;p;CITY;Северобайкальск;33020
c2637;p;CITY;Северодвинск;2637
c27094;p;CITY;Североуральск;27094
c28558;p;CITY;Северск;28558
c32869;p;CITY;Селенгинск;32869
c232;p;CITY;Сергиев Посад;232
c27226;p;CITY;Серов;27226
c414;p;CITY;Серпухов;414
c22647;p;CITY;Сибай;22647
c44079;p;CITY;Симферополь;44079
c32408;p;CITY;Слюдянка;32408
c5943;p;CITY;Смоленск;5943
c22850;p;CITY;Снежинск;22850
c6641;p;CITY;Советск;6641
c34483;p;CITY;Советская Гавань;34483
c27702;p;CITY;Советский;27702
c272;p;CITY;Солнечногорск;272
c5784;p;CITY;Сосновый Бор;5784
c3315;p;CITY;Сосногорск;3315
c11533;p;CITY;Сочи;11533
c26995;p;CITY;Среднеуральск;26995
c11555;p;CITY;Ставрополь;11555
c9548;p;CITY;Старый Оскол;9548
c22306;p;CITY;Стерлитамак;22306
c28723;p;CITY;Стрежевой;28723
c9345;p;CITY;Строитель;9345
c517;p;CITY;Ступино;517
c27725;p;CITY;Сургут;27725
c27161;p;CITY;Сухой Лог;27161
c21106;p;CITY;Сызрань;21106
c3057;p;CITY;Сыктывкар;3057
c26941;p;CITY;Тавда;26941
c10685;p;CITY;Таганрог;10685
c30233;p;CITY;Тайга;30233
c32127;p;CITY;Тайшет;32127
c31873;p;CITY;Талнах;31873
c13962;p;CITY;Тамбов;13962
c3391;p;CITY;Тверь;3391
c5545;p;CITY;Тихвин;5545
c10770;p;CITY;Тихорецк;10770
c27335;p;CITY;Тобольск;27335
c21029;p;CITY;Тольятти;21029
c28518;p;CITY;Томск;28518
c30183;p;CITY;Топки;30183
c5437;p;CITY;Тосно;5437
c22696;p;CITY;Трехгорный;22696
c413;p;CITY;Троицк;413
c22963;p;CITY;Троицк;22963
c11085;p;CITY;Туапсе;11085
c7643;p;CITY;Тула;7643
c32222;p;CITY;Тулун;32222
c27228;p;CITY;Тюмень;27228
c1059;p;CITY;Углич;1059
c7960;p;CITY;Узловая;7960
c32792;p;CITY;Улан-Удэ;32792
c20024;p;CITY;Ульяновск;20024
c27711;p;CITY;Урай;27711
c32294;p;CITY;Усолье-Сибирское;32294
c34956;p;CITY;Уссурийск;34956
c32571;p;CITY;Усть-Кут;32571
c2463;p;CITY;Устюжна;2463
c21576;p;CITY;Уфа;21576
c3254;p;CITY;Ухта;3254
c34311;p;CITY;Хабаровск;34311
c27638;p;CITY;Ханты-Мансийск;27638
c12601;p;CITY;Хасавюрт;12601
c33139;p;CITY;Хилок;33139
c263;p;CITY;Химки;263
c35219;p;CITY;Холмск;35219
c262;p;CITY;Хотьково;262
c10179;p;CITY;Чалтырь;10179
c19198;p;CITY;Чебоксары;19198
c22671;p;CITY;Челябинск;22671
c2386;p;CITY;Череповец;2386
c13137;p;CITY;Черкесск;13137
c26255;p;CITY;Чернушка;26255
c6488;p;CITY;Черняховск;6488
c429;p;CITY;Чехов;429
c33086;p;CITY;Чита;33086
c26329;p;CITY;Чусовой;26329
c29239;p;CITY;Шадринск;29239
c10021;p;CITY;Шахты;10021
c32423;p;CITY;Шелехов;32423
c30768;p;CITY;Шипуново;30768
c7787;p;CITY;Щекино;7787
c190;p;CITY;Щелково;190
c411;p;CITY;Щербинка;411
c797;p;CITY;Электросталь;797
c11993;p;CITY;Элиста;11993
c17101;p;CITY;Энгельс;17101
c189;p;CITY;Юбилейный;189
c35109;p;CITY;Южно-Сахалинск;35109
c30047;p;CITY;Юрга;30047
c33804;p;CITY;Якутск;33804
c44086;p;CITY;Ялта;44086
c27395;p;CITY;Ялуторовск;27395
c6584;p;CITY;Янтарный;6584
c799;p;CITY;Ярославль;799
c6152;p;CITY;Ярцево;6152
c35277;p;CITY;Австралия;35277
c35280;p;CITY;Австрия;35280
c35291;p;CITY;Азербайджан;35291
c35316;p;CITY;Албания;35316
c35317;p;CITY;Алжир;35317
c35318;p;CITY;Американское Самоа;35318
c35319;p;CITY;Ангилья;35319
c35320;p;CITY;Ангола;35320
c35321;p;CITY;Андорра;35321
c35322;p;CITY;Антигуа и Барбуда;35322
c35276;p;CITY;Аргентина;35276
c35323;p;CITY;Армения;35323
c35324;p;CITY;Аруба;35324
c40664;p;CITY;Афганистан;40664
c35325;p;CITY;Багамы;35325
c35326;p;CITY;Бангладеш;35326
c35327;p;CITY;Барбадос;35327
c35328;p;CITY;Бахрейн;35328
c35292;p;CITY;Беларусь;35292
c35329;p;CITY;Белиз;35329
c35330;p;CITY;Бельгия;35330
c35331;p;CITY;Бенин;35331
c35332;p;CITY;Бермуды;35332
c35275;p;CITY;Болгария;35275
c35333;p;CITY;Боливия, Многонациональное Государство;35333
c35334;p;CITY;Бонайре, Саба и Синт-Эстатиус;35334
c35335;p;CITY;Босния и Герцеговина;35335
c35336;p;CITY;Ботсвана;35336
c35337;p;CITY;Бразилия;35337
c35338;p;CITY;Бруней-Даруссалам;35338
c35339;p;CITY;Буркина-Фасо;35339
c35340;p;CITY;Бурунди;35340
c35341;p;CITY;Бутан;35341
c35342;p;CITY;Вануату;35342
c35303;p;CITY;Венгрия;35303
c35343;p;CITY;Венесуэла Боливарианская Республика;35343
c35344;p;CITY;Виргинские острова, Британские;35344
c35345;p;CITY;Виргинские острова, США;35345
c35346;p;CITY;Вьетнам;35346
c35347;p;CITY;Габон;35347
c35348;p;CITY;Гаити;35348
c35349;p;CITY;Гайана;35349
c35350;p;CITY;Гамбия;35350
c35351;p;CITY;Гана;35351
c35352;p;CITY;Гваделупа;35352
c35353;p;CITY;Гватемала;35353
c35355;p;CITY;Гвинея;35355
c35354;p;CITY;Гвинея-Бисау;35354
c35279;p;CITY;Германия;35279
c35356;p;CITY;Гернси;35356
c35357;p;CITY;Гибралтар;35357
c35358;p;CITY;Гондурас;35358
c35310;p;CITY;Гонконг;35310
c35359;p;CITY;Гренада;35359
c35360;p;CITY;Гренландия;35360
c35361;p;CITY;Греция;35361
c35284;p;CITY;Грузия;35284
c35362;p;CITY;Гуам;35362
c35300;p;CITY;Дания;35300
c35363;p;CITY;Джерси;35363
c35364;p;CITY;Джибути;35364
c35365;p;CITY;Доминика;35365
c35366;p;CITY;Доминиканская Республика;35366
c35367;p;CITY;Египет;35367
c35368;p;CITY;Замбия;35368
c35370;p;CITY;Зимбабве;35370
c35285;p;CITY;Израиль;35285
c35371;p;CITY;Индия;35371
c35372;p;CITY;Индонезия;35372
c35373;p;CITY;Иордания;35373
c49494;p;CITY;Ирак;49494
c35374;p;CITY;Иран, Исламская Республика;35374
c35315;p;CITY;Ирландия;35315
c35375;p;CITY;Исландия;35375
c35274;p;CITY;Испания;35274
c35295;p;CITY;Италия;35295
c35376;p;CITY;Йемен;35376
c35377;p;CITY;Кабо-Верде;35377
c35379;p;CITY;Камбоджа;35379
c35380;p;CITY;Камерун;35380
c35282;p;CITY;Канада;35282
c35382;p;CITY;Катар;35382
c35383;p;CITY;Кения;35383
c35384;p;CITY;Кипр;35384
c35287;p;CITY;Киргизия;35287
c35385;p;CITY;Кирибати;35385
c35289;p;CITY;Китай;35289
c35386;p;CITY;Колумбия;35386
c35387;p;CITY;Коморы;35387
c35388;p;CITY;Конго;35388
c35389;p;CITY;Конго, Демократическая Республика;35389
c35594;p;CITY;Корея, Народно-Демократическая Республика;35594
c35595;p;CITY;Корея, Республика;35595
c35391;p;CITY;Коста-Рика;35391
c35392;p;CITY;Кот д'Ивуар;35392
c35304;p;CITY;Куба;35304
c35393;p;CITY;Кувейт;35393
c35395;p;CITY;Кюрасао;35395
c35396;p;CITY;Лаос;35396
c35298;p;CITY;Латвия;35298
c35397;p;CITY;Лесото;35397
c35398;p;CITY;Либерия;35398
c35399;p;CITY;Ливан;35399
c35400;p;CITY;Ливийская Арабская Джамахирия;35400
c35401;p;CITY;Литва;35401
c35402;p;CITY;Лихтенштейн;35402
c35403;p;CITY;Люксембург;35403
c35404;p;CITY;Маврикий;35404
c35405;p;CITY;Мавритания;35405
c35406;p;CITY;Мадагаскар;35406
c40708;p;CITY;Майотта;40708
c35407;p;CITY;Макао;35407
c35409;p;CITY;Малави;35409
c35410;p;CITY;Малайзия;35410
c35411;p;CITY;Мали;35411
c35412;p;CITY;Мальдивы;35412
c35413;p;CITY;Мальта;35413
c35414;p;CITY;Марокко;35414
c35416;p;CITY;Мартиника;35416
c35415;p;CITY;Маршалловы острова;35415
c35314;p;CITY;Мексика;35314
c35417;p;CITY;Мозамбик;35417
c35418;p;CITY;Молдова, Республика;35418
c35419;p;CITY;Монако;35419
c35420;p;CITY;Монголия;35420
c35421;p;CITY;Монтсеррат;35421
c35422;p;CITY;Мьянма;35422
c35423;p;CITY;Намибия;35423
c35424;p;CITY;Науру;35424
c35426;p;CITY;Непал;35426
c35427;p;CITY;Нигер;35427
c35428;p;CITY;Нигерия;35428
c35429;p;CITY;Нидерланды;35429
c35430;p;CITY;Никарагуа;35430
c35431;p;CITY;Ниуэ;35431
c35312;p;CITY;Новая Зеландия;35312
c35432;p;CITY;Новая Каледония;35432
c35301;p;CITY;Норвегия;35301
c35433;p;CITY;Объединенные Арабские Эмираты;35433
c35434;p;CITY;Оман;35434
c35378;p;CITY;Острова Кайман;35378
c35394;p;CITY;Острова Кука;35394
c35435;p;CITY;Пакистан;35435
c35436;p;CITY;Панама;35436
c35437;p;CITY;Папуа-Новая Гвинея;35437
c35438;p;CITY;Парагвай;35438
c35439;p;CITY;Перу;35439
c35273;p;CITY;Польша;35273
c35306;p;CITY;Португалия;35306
c35440;p;CITY;Пуэрто-Рико;35440
c35408;p;CITY;Республика Македония;35408
c35441;p;CITY;Реюньон;35441
c35442;p;CITY;Руанда;35442
c35309;p;CITY;Румыния;35309
c35598;p;CITY;Самоа;35598
c35633;p;CITY;Сан-Марино;35633
c35445;p;CITY;Сан-Томе и Принсипи;35445
c35446;p;CITY;Саудовская Аравия;35446
c35448;p;CITY;Свазиленд;35448
c35443;p;CITY;Северные Марианские острова;35443
c35449;p;CITY;Сейшелы;35449
c35450;p;CITY;Сенегал;35450
c35451;p;CITY;Сен-Мартен;35451
c35452;p;CITY;Сент-Винсент и Гренадины;35452
c35453;p;CITY;Сент-Китс и Невис;35453
c35454;p;CITY;Сент-Люсия;35454
c39050;p;CITY;Сербия;39050
c35456;p;CITY;Сингапур;35456
c35457;p;CITY;Сирийская Арабская Республика;35457
c35458;p;CITY;Словакия;35458
c35459;p;CITY;Словения;35459
c35294;p;CITY;Соединенное Королевство;35294
c35272;p;CITY;Соединенные Штаты;35272
c35460;p;CITY;Соломоновы острова;35460
c35461;p;CITY;Сомали;35461
c35462;p;CITY;Судан;35462
c35463;p;CITY;Суринам;35463
c35464;p;CITY;Сьерра-Леоне;35464
c35465;p;CITY;Таджикистан;35465
c35467;p;CITY;Таиланд;35467
c35466;p;CITY;Тайвань (Китай);35466
c35469;p;CITY;Танзания, Объединенная Республика;35469
c42769;p;CITY;Тимор-Лесте;42769
c35471;p;CITY;Того;35471
c35472;p;CITY;Тонга;35472
c35473;p;CITY;Тринидад и Тобаго;35473
c35474;p;CITY;Тувалу;35474
c35496;p;CITY;Тунис;35496
c35475;p;CITY;Туркмения;35475
c35476;p;CITY;Турция;35476
c35477;p;CITY;Уганда;35477
c35283;p;CITY;Узбекистан;35283
c35281;p;CITY;Украина;35281
c35478;p;CITY;Уругвай;35478
c35479;p;CITY;Фарерские острова;35479
c35480;p;CITY;Фиджи;35480
c35481;p;CITY;Филиппины;35481
c35482;p;CITY;Финляндия;35482
c35483;p;CITY;Фолклендские острова (Мальвинские);35483
c35296;p;CITY;Франция;35296
c35484;p;CITY;Французская Гвиана;35484
c35468;p;CITY;Французская Полинезия;35468
c35485;p;CITY;Хорватия;35485
c35597;p;CITY;Центрально-Африканская Республика;35597
c35486;p;CITY;Чад;35486
c39748;p;CITY;Черногория;39748
c35293;p;CITY;Чехия;35293
c35487;p;CITY;Чили;35487
c35297;p;CITY;Швейцария;35297
c35302;p;CITY;Швеция;35302
c35488;p;CITY;Шри-Ланка;35488
c35489;p;CITY;Эквадор;35489
c35490;p;CITY;Экваториальная Гвинея;35490
c35444;p;CITY;Эль-Сальвадор;35444
c35491;p;CITY;Эритрея;35491
c35299;p;CITY;Эстония;35299
c35492;p;CITY;Эфиопия;35492
c35495;p;CITY;Южная Африка;35495
c35494;p;CITY;Ямайка;35494
c35278;p;CITY;Япония;35278
c46541;p;CITY;Абай;46541
c46556;p;CITY;Ават;46556
c46565;p;CITY;Азат;46565
c46574;p;CITY;Айдарлы;46574
c54379;p;CITY;Айнаколь;54379
c54380;p;CITY;Айтым;54380
c46587;p;CITY;Айша биби;46587
c46602;p;CITY;Акбулак;46602
c46604;p;CITY;Акбулым;46604
c46605;p;CITY;Акдала;46605
c46613;p;CITY;Акжал;46613
c46615;p;CITY;Акжар;46615
c54381;p;CITY;Акжол;54381
c46633;p;CITY;Акколь;46633
c46649;p;CITY;Аккыстау;46649
c54276;p;CITY;Акмол;54276
c49337;p;CITY;Аксай;49337
c49355;p;CITY;Аксай;49355
c54319;p;CITY;Аксенгир;54319
c46661;p;CITY;Аксогым;46661
c46663;p;CITY;Аксу;46663
c46665;p;CITY;Аксу;46665
c45188;p;CITY;Аксу;45188
c46666;p;CITY;Аксу аюлы;46666
c46674;p;CITY;Актас;46674
c54445;p;CITY;Актас;54445
c46682;p;CITY;Актау;46682
c49328;p;CITY;Актау;49328
c49330;p;CITY;Актобе;49330
c46688;p;CITY;Актогай;46688
c46689;p;CITY;Актогай;46689
c46690;p;CITY;Актогай;46690
c54369;p;CITY;Акшабулак;54369
c46708;p;CITY;Акшукыр;46708
c46710;p;CITY;Акыртобе;46710
c46713;p;CITY;Алатау;46713
c46715;p;CITY;Алга;46715
c46723;p;CITY;Алгабас;46723
c54382;p;CITY;Алгабас;54382
c54401;p;CITY;Александровка;54401
c46736;p;CITY;Александровка;46736
c46737;p;CITY;Александровка;46737
c46751;p;CITY;Алмалыбак;46751
c46752;p;CITY;Алмалык;46752
c40725;p;CITY;Алматы;40725
c46755;p;CITY;Алтайский;46755
c54332;p;CITY;Алтынколь;54332
c46762;p;CITY;Алтынсарино;46762
c46779;p;CITY;Аманкарагай;46779
c46806;p;CITY;Аральск;46806
c46808;p;CITY;Аркалык;46808
c46821;p;CITY;Аса;46821
c46822;p;CITY;Асаново;46822
c40723;p;CITY;Астана;40723
c46825;p;CITY;Астраханка;46825
c46835;p;CITY;Атасу;46835
c46837;p;CITY;Атбасар;46837
c46838;p;CITY;Атбулак;46838
c40992;p;CITY;Атырау;40992
c46841;p;CITY;Аулиеколь;46841
c46842;p;CITY;Аульбек;46842
c46843;p;CITY;Ауэзов;46843
c46858;p;CITY;Аягоз;46858
c54274;p;CITY;Бабатай;54274
c46864;p;CITY;Бадам;46864
c46865;p;CITY;Бадам;46865
c46918;p;CITY;Бадамша;46918
c54446;p;CITY;Базаркакпа;54446
c54407;p;CITY;Байсал;54407
c45186;p;CITY;Байсерке;45186
c54312;p;CITY;Байтерек;54312
c54408;p;CITY;Байтерек;54408
c46887;p;CITY;Баканас;46887
c46906;p;CITY;Балыкты;46906
c46911;p;CITY;Барлыбай;46911
c54409;p;CITY;Барневка;54409
